student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,exam_score
69,21,Female,High School,4.9,1.56,3.26,3.08,1.54,7.48,6.29,Poor,3,29.04,38.91,27.83,15.16
70,25,Female,High School,2.27,2.75,0.0,1.24,2.81,6.92,3.68,Poor,7,31.7,61.19,20.69,12.34
74,22,Male,High School,5.53,3.05,4.04,0.55,2.05,7.29,6.32,Poor,1,33.88,52.24,29.89,18.02
75,19,Other,High School,0.5,1.05,0.68,3.82,1.7,10.0,1.0,Good,6,11.17,10.42,25.38,14.5
76,19,Male,High School,5.21,0.0,1.85,1.02,0.82,7.66,3.17,Good,4,21.89,37.07,31.25,16.13
85,24,Other,High School,1.24,4.08,1.28,1.91,2.06,9.74,3.47,Poor,8,39.96,38.65,28.36,24.91
86,22,Other,High School,6.32,2.73,0.0,1.86,0.56,5.56,5.44,Good,4,29.22,67.75,39.64,15.82
93,22,Other,High School,4.62,2.49,1.59,3.21,0.0,8.96,7.46,Good,7,44.31,31.53,66.46,45.2
94,22,Female,High School,4.41,2.24,0.91,3.16,4.36,6.16,7.24,Poor,9,28.75,54.8,49.14,19.24
97,20,Male,High School,6.37,3.86,3.24,2.75,0.0,7.44,8.77,Poor,3,28.83,47.42,31.59,16.97
100,16,Male,High School,4.5,2.63,1.72,2.99,1.65,8.87,1.0,Average,1,22.38,20.02,30.39,18.43
102,24,Other,High School,2.89,2.3,2.09,0.08,3.14,7.86,9.66,Good,1,20.22,41.9,9.18,1.0
103,22,Male,High School,3.24,2.53,0.35,4.87,0.0,9.46,10.35,Average,9,32.42,48.67,44.41,1.76
104,24,Other,High School,2.95,2.01,3.05,0.41,1.7,7.9,7.35,Good,8,36.36,54.28,44.05,16.17
106,17,Male,High School,5.79,2.92,2.03,3.57,0.0,5.67,7.89,Average,6,37.14,69.23,46.81,16.7
108,19,Male,High School,4.45,2.16,1.16,2.0,1.1,7.85,5.85,Poor,7,38.52,42.49,40.98,20.99
109,17,Other,High School,2.48,3.52,0.83,5.1,1.16,7.76,7.98,Average,2,13.63,43.52,19.25,1.0
110,19,Other,High School,3.25,1.55,2.07,2.99,1.87,6.52,7.64,Poor,2,17.92,60.5,3.81,1.0
111,20,Female,High School,4.91,2.66,1.77,3.42,2.76,4.99,7.82,Good,3,6.8,71.79,24.27,1.0
113,22,Male,High School,4.99,5.08,3.39,3.65,2.34,6.6,8.17,Average,5,30.26,68.72,34.82,12.47
117,19,Female,High School,2.42,2.84,0.66,1.52,0.46,8.2,7.19,Poor,7,33.78,64.61,24.11,12.37
121,22,Other,High School,5.65,2.32,2.44,3.49,3.28,7.96,10.24,Good,8,36.8,69.11,39.54,15.16
125,16,Female,High School,7.07,1.62,0.73,2.27,3.97,7.26,8.07,Good,7,36.67,54.24,50.21,29.7
126,16,Other,High School,4.34,1.66,3.39,3.16,2.26,5.54,6.05,Good,9,24.86,70.76,39.76,8.35
129,24,Female,High School,4.98,2.13,1.68,4.96,2.84,5.54,7.54,Average,3,17.89,60.56,16.45,3.53
130,20,Female,High School,3.04,3.41,1.29,3.81,1.34,8.58,9.03,Average,3,25.39,35.04,23.13,14.86
131,24,Other,High School,8.04,4.67,1.44,4.44,0.89,8.0,3.76,Average,5,48.82,41.0,61.19,34.74
139,23,Female,High School,2.81,1.56,2.17,3.58,1.8,7.91,3.92,Poor,5,20.29,40.53,27.67,25.52
143,24,Male,High School,0.0,1.22,3.14,2.16,0.0,6.74,8.31,Average,10,21.65,63.74,23.36,8.04
145,17,Male,High School,5.69,2.67,3.15,1.67,0.5,6.39,5.78,Good,6,33.91,27.81,51.29,36.11
149,23,Other,High School,4.08,1.17,3.39,2.43,3.21,7.92,7.76,Average,10,27.91,47.62,40.45,21.84
152,18,Male,High School,3.94,4.32,1.56,2.05,0.65,7.21,5.51,Average,9,40.41,42.56,51.51,32.14
155,18,Female,High School,3.93,2.87,1.37,4.15,2.19,4.0,7.85,Good,7,21.22,63.22,30.16,12.36
161,25,Female,High School,5.73,2.2,1.59,1.14,2.98,7.01,5.37,Average,9,40.23,36.86,67.44,44.19
163,19,Male,High School,4.13,2.96,1.57,3.74,0.0,9.33,6.98,Good,8,38.04,50.14,44.72,23.91
172,22,Other,High School,6.47,4.01,0.6,3.82,3.16,8.25,6.38,Average,4,35.54,33.16,50.18,30.72
174,24,Other,High School,9.38,1.33,1.11,1.21,0.67,7.4,8.11,Poor,6,45.6,45.73,71.16,34.63
177,20,Other,High School,4.12,3.24,0.76,2.24,0.23,6.28,8.92,Average,6,29.55,68.36,28.78,12.2
182,25,Male,High School,5.16,3.13,1.77,1.18,2.42,10.0,3.5,Poor,4,44.34,14.26,48.61,35.45
186,21,Other,High School,5.61,2.94,0.95,1.73,1.11,8.77,4.11,Poor,10,44.81,45.01,60.78,26.73
188,18,Other,High School,4.44,3.03,0.72,4.84,0.94,7.47,4.5,Average,8,33.86,60.84,42.53,15.86
191,16,Other,High School,2.22,1.88,3.34,1.23,0.7,7.2,11.31,Good,4,19.13,49.65,11.66,1.0
192,19,Other,High School,5.73,0.05,2.01,2.25,0.0,9.84,5.33,Poor,10,40.16,24.97,63.59,44.64
197,17,Other,High School,6.32,3.94,0.0,2.97,0.84,6.94,10.34,Poor,7,39.97,48.82,56.69,27.27
201,17,Other,High School,5.05,3.23,1.52,3.59,2.58,8.05,2.12,Good,3,20.98,26.39,36.03,18.58
202,18,Other,High School,5.76,3.41,3.12,4.92,0.0,7.02,4.3,Poor,2,29.32,34.69,44.52,29.14
203,24,Female,High School,5.27,0.86,2.53,2.96,1.47,7.76,10.84,Good,6,31.23,34.22,43.9,25.07
204,21,Male,High School,2.92,2.09,0.0,4.23,0.0,8.15,6.72,Average,1,13.84,22.51,18.09,11.1
211,23,Male,High School,3.5,0.49,2.82,1.93,0.0,8.71,7.0,Good,7,41.37,33.12,41.07,20.98
212,22,Other,High School,4.33,2.08,3.2,2.94,1.36,6.3,5.83,Poor,6,32.38,44.58,36.26,23.71
215,23,Female,High School,7.21,1.97,3.66,0.94,1.05,6.84,9.11,Poor,7,39.47,47.21,62.1,27.31
219,25,Other,High School,4.85,2.46,2.33,0.46,0.38,6.86,6.37,Good,3,26.76,30.52,33.03,24.97
221,25,Female,High School,4.8,3.66,1.89,2.11,1.69,6.61,5.96,Good,8,30.25,43.52,48.79,21.35
224,24,Male,High School,4.5,2.1,0.96,5.35,2.1,8.82,3.88,Average,9,27.94,17.15,51.47,27.63
225,21,Other,High School,2.57,1.16,0.07,4.73,2.56,7.36,9.95,Average,3,8.28,48.63,12.2,1.0
233,24,Female,High School,2.61,4.32,3.24,0.0,0.14,8.59,6.25,Poor,10,47.32,28.69,48.91,37.04
241,24,Male,High School,3.75,1.97,2.62,1.49,0.26,8.53,3.71,Average,10,54.23,29.5,57.67,41.48
244,20,Other,High School,4.03,3.46,2.48,6.02,2.51,6.63,5.73,Poor,3,24.8,29.84,42.95,8.32
246,20,Male,High School,0.68,1.3,3.88,1.23,0.03,7.29,11.17,Average,3,21.27,44.37,12.63,7.21
247,21,Female,High School,1.98,3.51,0.82,1.11,0.0,6.42,9.93,Good,8,28.71,38.54,32.03,11.76
251,18,Male,High School,6.41,3.09,1.72,1.84,2.35,6.34,4.27,Poor,3,28.59,45.88,36.87,14.77
256,22,Female,High School,2.51,2.28,0.86,0.0,1.06,7.1,6.79,Good,7,41.12,57.38,35.08,10.11
260,17,Male,High School,7.31,1.55,2.23,3.04,0.0,7.29,9.33,Average,4,39.14,50.73,45.72,18.78
261,22,Other,High School,3.26,0.74,0.97,3.12,1.18,8.88,5.26,Average,1,14.12,27.91,10.26,14.36
266,17,Male,High School,5.53,1.8,1.07,2.08,0.0,6.78,8.02,Average,7,32.45,52.53,52.66,36.05
267,19,Male,High School,3.16,4.0,0.72,4.41,1.9,7.37,8.52,Good,6,25.3,34.8,29.41,23.98
270,23,Female,High School,3.32,1.33,0.77,3.76,5.51,7.88,5.14,Average,4,11.68,35.49,18.61,7.25
271,21,Male,High School,8.55,2.6,3.12,2.59,0.0,8.31,6.99,Poor,9,54.71,37.28,91.13,53.9
272,19,Female,High School,5.35,0.3,2.29,2.16,0.65,6.18,10.25,Good,4,19.72,47.08,26.37,1.13
274,19,Male,High School,1.76,4.03,3.45,3.57,1.23,5.32,6.62,Average,5,21.35,43.15,9.33,8.45
276,17,Other,High School,5.22,3.0,0.5,2.82,1.16,8.1,2.03,Good,8,47.29,18.46,79.77,48.78
287,16,Other,High School,2.49,2.59,1.52,2.42,0.14,8.27,5.85,Good,7,35.2,24.99,45.98,31.54
290,19,Male,High School,7.65,1.91,1.1,2.61,2.1,7.43,4.88,Average,2,28.35,41.4,45.9,10.52
291,16,Male,High School,4.29,2.48,1.59,0.68,2.73,5.89,7.82,Average,7,34.77,28.51,45.95,20.43
293,18,Male,High School,0.7,5.8,2.37,1.45,1.69,7.84,4.56,Good,6,27.06,29.05,15.77,11.14
296,17,Other,High School,2.82,3.32,2.61,3.3,1.3,7.97,9.84,Poor,10,43.57,62.86,37.43,18.58
300,22,Male,High School,2.68,2.66,2.79,3.59,3.3,7.34,7.81,Average,1,13.09,36.98,5.85,7.58
301,21,Male,High School,3.78,2.76,2.03,1.89,1.09,7.64,8.57,Average,1,22.81,44.06,12.77,2.15
305,19,Other,High School,4.39,2.08,1.1,2.14,0.0,8.92,10.43,Good,8,33.25,43.78,40.83,14.83
306,22,Female,High School,6.84,1.72,1.57,2.44,0.52,7.77,6.94,Good,2,30.62,54.02,37.62,22.29
309,17,Female,High School,5.05,1.95,3.16,3.47,1.86,8.39,8.4,Average,2,29.4,22.2,35.19,12.08
329,16,Male,High School,5.06,0.0,0.61,1.98,3.7,7.31,3.95,Good,4,12.83,43.46,31.0,10.69
330,19,Male,High School,6.06,3.51,2.78,0.21,0.66,5.6,5.36,Poor,2,38.99,56.4,25.64,10.46
332,23,Other,High School,1.89,3.65,0.32,2.67,0.0,6.07,5.41,Poor,8,27.64,49.01,31.09,13.1
335,20,Female,High School,1.38,1.51,0.87,2.65,0.31,8.33,10.28,Good,7,27.04,36.87,30.22,12.43
340,24,Female,High School,0.77,2.85,0.99,1.04,2.53,7.71,6.75,Good,5,19.73,50.06,12.67,1.31
342,16,Male,High School,3.39,1.62,1.02,5.11,2.81,10.0,6.91,Good,5,23.88,38.02,24.11,13.8
344,23,Female,High School,5.6,2.05,2.76,2.13,3.48,7.07,5.23,Good,7,38.13,23.71,63.52,40.69
347,16,Male,High School,4.73,1.45,3.4,3.7,3.23,4.03,5.93,Poor,9,21.51,71.25,27.55,5.69
356,16,Female,High School,4.98,2.46,1.78,2.32,3.99,7.21,6.14,Average,8,39.63,50.1,52.71,27.1
360,24,Other,High School,3.05,1.9,1.76,3.57,1.91,6.96,5.32,Average,9,27.02,30.3,37.66,19.06
369,16,Other,High School,4.36,2.23,0.4,1.44,0.48,8.18,8.78,Poor,1,18.99,47.25,13.58,1.0
375,21,Female,High School,3.82,4.52,2.96,0.69,2.44,5.61,4.6,Poor,8,41.8,56.82,39.68,27.76
377,18,Female,High School,7.45,2.9,2.8,2.82,2.16,6.04,8.44,Good,8,37.3,28.9,61.23,38.94
384,22,Other,High School,2.37,1.08,2.89,4.98,0.21,8.39,9.98,Good,5,16.11,41.53,19.79,1.0
389,24,Male,High School,5.03,0.71,0.86,0.0,1.88,8.46,9.48,Good,2,33.15,21.28,44.62,20.14
391,18,Other,High School,6.08,3.12,3.15,2.78,0.99,7.32,2.31,Average,8,43.77,60.6,60.32,32.82
392,19,Female,High School,5.98,4.85,2.95,6.89,2.63,6.5,8.43,Poor,3,23.26,50.05,28.21,4.05
393,23,Male,High School,3.05,2.47,0.0,2.92,1.13,7.03,5.56,Poor,4,20.73,40.18,25.93,1.64
398,23,Male,High School,4.52,2.66,4.17,2.02,1.64,6.78,10.38,Good,6,32.08,45.12,35.89,27.59
399,17,Male,High School,3.95,3.27,2.01,3.66,1.65,7.83,4.52,Poor,8,37.53,36.7,45.28,33.51
408,20,Female,High School,8.42,1.21,1.43,2.66,1.43,8.94,4.65,Good,1,28.47,37.9,44.49,18.75
409,19,Female,High School,2.86,1.15,1.51,5.1,2.29,5.96,9.77,Average,2,11.35,56.24,8.76,1.0
419,16,Female,High School,4.24,2.6,2.75,4.71,1.9,7.22,8.85,Good,4,33.99,40.69,35.65,20.38
424,19,Male,High School,2.24,0.84,1.46,0.76,0.0,5.91,7.5,Poor,5,30.25,31.42,34.63,17.42
426,25,Female,High School,8.13,0.72,1.78,0.65,0.68,5.92,8.82,Good,2,26.13,66.47,35.6,12.47
427,23,Female,High School,4.46,4.03,0.71,4.14,2.86,10.0,7.59,Good,2,20.42,52.43,21.61,11.45
437,19,Female,High School,4.56,1.74,1.57,2.23,1.87,6.19,2.66,Average,1,10.57,33.94,11.77,1.0
441,18,Male,High School,6.58,2.19,2.76,1.62,1.9,6.56,10.8,Average,2,26.38,49.74,31.05,25.13
447,24,Male,High School,4.66,3.01,1.6,1.34,2.96,8.4,9.04,Average,4,30.93,27.71,32.93,22.14
455,17,Female,High School,4.22,3.81,2.18,4.24,0.43,5.79,7.51,Average,4,19.98,58.4,18.86,11.88
459,24,Other,High School,5.51,1.79,1.95,3.82,1.78,7.48,8.32,Poor,2,20.89,53.85,21.95,15.5
460,25,Male,High School,2.31,0.0,2.5,2.2,3.93,6.67,7.08,Poor,2,17.3,42.24,2.77,1.0
462,20,Female,High School,3.73,1.5,2.52,1.44,1.09,8.94,9.26,Good,6,29.2,34.14,34.66,31.04
463,20,Female,High School,6.08,2.03,1.92,2.05,0.0,7.66,12.14,Average,1,26.8,44.59,35.19,15.04
465,23,Other,High School,1.73,0.26,1.96,5.07,3.53,5.72,7.33,Poor,10,13.21,74.06,24.06,1.0
467,25,Other,High School,3.85,2.63,2.3,2.55,2.46,8.15,6.81,Average,10,38.26,57.39,45.3,23.77
468,20,Other,High School,3.4,2.64,1.44,1.85,2.79,7.25,6.97,Good,8,21.86,62.68,26.72,16.63
469,17,Male,High School,3.82,2.82,2.8,1.62,0.0,5.01,8.91,Poor,6,27.67,51.77,29.79,6.0
471,21,Female,High School,2.99,2.75,2.66,3.66,2.94,6.46,3.62,Good,3,13.05,31.22,23.69,10.64
472,24,Other,High School,6.46,0.67,1.97,7.24,0.82,9.37,3.04,Good,8,30.84,19.59,57.27,32.33
473,25,Other,High School,2.58,4.38,1.47,1.46,1.77,7.9,4.05,Good,7,43.01,24.15,40.93,40.57
474,21,Other,High School,6.68,2.66,1.26,1.95,4.0,5.81,6.53,Good,3,26.63,52.62,45.6,18.85
476,16,Male,High School,4.96,2.02,2.52,4.29,0.6,6.96,6.72,Average,1,23.9,55.19,14.45,1.0
483,21,Male,High School,5.46,1.47,1.43,0.23,1.37,7.15,2.7,Average,1,25.9,43.99,27.84,17.82
486,22,Female,High School,5.03,0.72,0.96,0.0,0.42,7.66,9.16,Good,5,41.87,66.39,42.84,27.6
487,18,Other,High School,8.63,3.12,2.86,1.74,0.59,4.25,3.76,Good,5,35.17,62.73,55.12,17.94
493,20,Male,High School,5.25,3.19,1.85,4.06,2.77,4.82,5.89,Poor,1,8.59,34.85,20.89,6.23
500,22,Female,High School,6.09,2.04,1.31,3.15,2.36,8.72,11.78,Good,9,35.78,46.82,53.28,24.63
501,21,Female,High School,5.77,3.81,1.59,2.09,2.32,8.17,6.13,Poor,3,28.62,41.58,39.22,17.67
502,22,Male,High School,3.64,1.73,3.47,2.3,1.71,6.76,5.72,Poor,6,37.84,31.65,46.81,29.87
505,25,Male,High School,5.95,2.76,1.42,0.54,0.91,6.28,9.77,Good,5,40.69,69.01,37.83,13.58
506,16,Male,High School,3.11,0.93,3.37,1.01,0.98,6.75,9.25,Average,9,39.11,60.31,44.9,22.52
508,16,Male,High School,4.09,4.38,2.04,1.45,2.74,6.9,5.72,Poor,5,22.11,54.67,32.63,6.07
515,20,Other,High School,4.38,0.86,2.7,0.73,1.17,6.04,3.93,Good,3,30.69,56.26,37.5,13.26
517,17,Other,High School,5.74,3.02,2.74,2.42,1.92,6.53,8.47,Average,6,35.59,66.15,37.65,12.6
526,21,Other,High School,6.22,2.27,1.79,1.56,2.44,5.96,4.77,Good,8,43.38,61.91,51.77,25.17
527,21,Male,High School,7.17,1.61,2.43,2.33,2.43,6.97,8.62,Average,4,33.5,60.36,44.58,32.88
529,18,Male,High School,6.22,3.81,0.29,5.75,1.34,5.42,5.61,Good,7,32.93,28.76,62.67,39.59
535,25,Female,High School,4.84,2.57,1.75,1.79,1.47,7.2,5.89,Good,7,40.78,56.86,44.22,24.02
536,22,Female,High School,3.93,2.62,2.38,3.39,3.99,7.26,7.97,Average,5,28.17,49.03,29.23,13.75
542,19,Other,High School,1.94,0.73,3.7,2.86,2.29,6.34,9.63,Poor,4,15.22,57.37,14.18,12.85
544,19,Female,High School,0.0,2.44,1.28,3.91,1.11,7.33,6.99,Good,2,12.61,63.23,1.0,1.0
545,24,Other,High School,7.05,2.14,1.87,3.2,0.78,6.02,5.28,Poor,5,35.24,51.65,42.28,23.67
547,21,Male,High School,7.65,2.93,1.92,4.53,1.78,7.17,6.21,Good,2,36.65,48.97,47.24,24.76
548,22,Female,High School,3.86,1.11,1.42,3.22,2.74,7.39,9.46,Average,3,28.58,39.47,15.11,22.04
555,22,Male,High School,3.5,3.05,4.14,1.59,3.22,7.31,2.53,Good,1,19.88,21.2,23.81,11.36
556,22,Female,High School,5.73,4.07,2.07,4.28,0.62,9.41,7.86,Average,8,40.72,44.77,52.36,22.18
557,20,Other,High School,7.69,2.61,2.37,5.18,4.36,8.75,6.29,Good,7,36.53,28.55,61.56,35.96
558,25,Other,High School,6.68,1.95,3.01,3.81,2.15,5.73,5.55,Poor,6,31.38,54.1,48.9,19.66
563,21,Female,High School,7.67,1.98,2.07,3.31,0.93,6.51,6.83,Average,10,47.32,39.6,66.31,39.13
566,24,Female,High School,4.5,2.15,2.96,2.64,2.36,6.01,4.56,Poor,7,33.44,47.89,53.01,30.75
572,19,Other,High School,5.51,1.08,2.99,2.95,0.06,8.47,6.09,Good,10,41.14,17.32,71.08,48.97
573,21,Other,High School,2.77,0.51,3.09,2.63,1.87,5.56,5.92,Good,5,15.06,51.26,23.59,6.75
574,21,Other,High School,7.03,2.96,2.37,0.0,0.66,7.63,9.05,Average,2,37.97,44.12,44.43,20.66
575,16,Other,High School,4.7,1.39,4.19,2.05,0.0,6.27,8.12,Average,9,50.57,69.49,55.51,30.82
578,24,Other,High School,3.59,2.97,0.78,3.32,2.33,7.91,7.98,Good,4,25.76,51.44,30.09,16.91
580,23,Male,High School,3.3,1.83,4.44,5.62,0.0,6.77,6.37,Good,3,19.44,43.58,20.36,1.0
581,25,Female,High School,4.94,3.49,2.33,4.36,2.98,7.24,11.0,Good,8,24.5,56.73,41.92,20.57
584,21,Male,High School,2.17,1.99,2.56,2.53,2.13,7.01,10.2,Good,2,6.43,52.34,4.61,1.0
585,17,Female,High School,8.13,1.78,1.16,3.18,1.1,6.33,6.92,Poor,6,39.91,29.08,62.62,37.69
595,22,Other,High School,8.85,3.8,2.72,2.03,3.81,7.71,4.99,Average,9,41.01,45.87,76.54,48.32
598,16,Other,High School,4.35,1.49,2.62,4.12,2.84,6.95,10.44,Poor,2,18.0,61.35,19.73,1.0
601,18,Male,High School,5.37,1.35,2.61,1.58,4.06,5.9,5.61,Good,3,18.27,60.32,26.09,1.0
604,21,Other,High School,2.54,0.0,0.43,4.11,3.99,5.4,11.64,Average,8,14.85,61.47,23.58,1.0
611,17,Female,High School,1.42,3.58,1.5,4.07,0.83,5.49,9.46,Good,9,33.31,59.74,35.01,25.76
612,24,Female,High School,7.09,3.11,1.82,4.5,2.04,6.48,5.62,Good,7,36.44,34.79,54.06,23.4
613,18,Other,High School,4.21,0.47,2.11,1.18,0.56,5.55,2.49,Poor,1,22.33,28.5,21.24,4.52
614,21,Female,High School,3.47,3.8,2.79,2.98,0.6,5.91,8.13,Poor,6,28.02,60.37,27.72,15.3
616,17,Female,High School,2.04,2.63,2.86,2.41,2.49,6.41,6.39,Average,9,38.66,39.58,41.0,24.09
617,16,Male,High School,5.76,1.23,2.23,2.07,0.0,7.46,9.01,Poor,3,17.2,48.09,33.08,1.0
618,23,Male,High School,4.3,1.41,0.31,1.36,2.67,8.88,7.03,Good,8,33.34,24.13,53.33,42.66
619,23,Male,High School,3.82,2.87,1.62,3.31,0.0,6.87,6.33,Poor,3,23.64,50.9,19.8,10.08
624,22,Other,High School,4.42,1.72,1.71,0.79,2.38,7.52,5.8,Poor,3,25.09,45.92,25.53,13.83
625,23,Female,High School,4.94,4.01,3.09,3.27,2.93,5.74,5.63,Good,4,26.77,22.21,41.21,22.85
628,20,Male,High School,4.77,2.61,1.75,5.03,0.43,6.99,7.96,Average,6,30.32,38.01,30.92,14.21
630,20,Other,High School,3.27,2.21,0.82,3.24,1.47,7.78,3.26,Poor,10,30.65,35.1,47.69,19.07
632,18,Other,High School,4.86,3.03,2.0,3.74,1.18,8.74,7.08,Average,9,39.67,38.5,55.0,33.72
634,16,Male,High School,7.93,1.79,4.54,5.19,0.0,8.91,6.57,Good,3,34.56,32.66,52.93,34.15
637,17,Female,High School,2.76,2.82,3.52,5.76,0.0,7.95,11.41,Good,8,28.58,71.64,16.72,7.42
643,23,Other,High School,5.77,2.38,3.21,1.25,0.19,5.74,10.32,Poor,5,37.74,67.56,40.11,15.91
644,23,Female,High School,5.8,1.42,1.8,5.69,1.97,7.34,10.47,Poor,10,39.27,51.64,60.77,33.92
645,22,Male,High School,4.1,1.11,1.45,1.9,0.0,5.95,8.15,Good,3,20.99,50.08,24.58,10.05
647,25,Female,High School,1.02,3.15,2.42,2.5,2.32,6.76,8.49,Good,4,20.4,45.79,16.34,3.38
650,18,Other,High School,5.93,2.46,2.21,3.11,2.5,4.34,7.77,Poor,8,32.28,49.78,50.63,11.16
651,19,Female,High School,4.21,3.59,3.35,4.49,0.29,5.81,8.47,Good,1,20.6,39.7,17.76,2.06
652,24,Male,High School,6.02,3.63,0.99,1.48,2.78,5.67,2.36,Good,7,33.33,69.48,34.2,18.95
657,24,Male,High School,3.5,1.88,2.54,2.38,1.35,7.5,5.48,Average,4,16.45,31.96,23.97,17.06
658,22,Female,High School,6.19,3.3,2.13,3.06,0.59,7.19,8.76,Good,4,28.62,64.7,35.9,17.73
660,23,Other,High School,1.73,2.2,2.28,3.47,0.0,6.34,6.12,Average,1,13.02,47.2,1.0,1.0
662,24,Other,High School,5.02,1.37,0.87,3.98,1.71,7.1,3.86,Poor,7,31.48,34.81,38.27,24.34
663,20,Female,High School,3.15,4.37,2.48,3.6,2.04,6.23,8.26,Good,8,33.24,54.02,37.71,21.41
664,24,Other,High School,4.6,0.8,1.43,4.13,0.88,8.85,11.88,Poor,3,19.33,32.31,29.93,14.03
665,21,Other,High School,7.06,2.0,3.78,6.26,0.87,5.7,7.65,Average,9,36.31,48.6,74.7,39.7
670,24,Other,High School,3.13,1.54,2.24,1.42,0.22,6.62,10.14,Poor,2,21.12,60.6,15.86,12.72
675,17,Female,High School,3.55,3.77,1.92,2.78,0.75,7.21,8.6,Good,5,36.25,23.18,40.2,32.96
677,18,Other,High School,7.97,2.13,1.91,2.31,1.55,6.41,6.44,Good,4,35.35,65.85,55.34,25.96
681,16,Male,High School,5.63,1.94,4.03,4.44,2.82,9.05,9.1,Poor,10,34.35,47.85,53.76,30.72
682,23,Other,High School,3.5,3.19,2.41,2.87,0.43,8.58,8.29,Good,2,26.78,41.06,16.66,1.19
688,21,Other,High School,3.37,0.66,1.49,3.03,0.0,6.8,6.92,Average,3,15.59,44.47,21.79,3.93
692,24,Male,High School,6.2,4.45,2.11,3.43,4.0,5.91,9.73,Poor,10,38.37,54.71,58.41,35.28
694,24,Other,High School,5.96,5.23,3.01,3.16,0.26,6.09,9.69,Good,3,33.89,66.14,31.82,3.22
703,16,Male,High School,5.41,3.27,2.67,1.39,0.54,7.79,8.02,Poor,9,40.23,40.65,64.85,29.51
714,23,Other,High School,3.78,4.0,2.88,3.45,2.38,7.82,8.22,Good,4,27.77,37.83,25.79,12.63
721,25,Female,High School,7.2,0.52,2.34,6.33,0.46,5.8,8.75,Average,5,17.15,55.5,40.0,21.5
726,24,Female,High School,4.62,2.54,1.13,3.83,0.0,7.47,8.3,Good,5,30.28,15.42,48.44,26.73
727,20,Other,High School,7.22,1.36,2.77,2.41,2.11,8.02,4.45,Average,3,29.61,24.96,52.59,29.54
728,24,Other,High School,2.97,3.28,0.0,1.81,0.0,7.73,10.9,Poor,10,40.37,45.89,53.75,28.4
